annotation_effort,scene_complexity,occlusion,depth_quality,photometric_conflict,temporal_stability,camera_motion,fisheye_stereo
0.1632996632996633,0.5718294051627385,0.7312008978675646,0.430976430976431,0.2996632996632997,0.3771043771043771,0.20673400673400674,0.4094276094276094
0.51010101010101,0.5718294051627385,0.49607182940516276,0.5277777777777778,0.23063973063973064,0.5342312008978676,0.9851851851851852,0.33670033670033667
0.38215488215488214,0.5718294051627385,0.6863075196408529,0.37542087542087543,0.35858585858585856,0.33726150392817056,0.4801346801346802,0.32121212121212117
0.367003367003367,0.5718294051627385,0.3838383838383838,0.43265993265993263,0.36195286195286197,0.42143658810325474,0.3488215488215488,0.41548821548821546
0.1632996632996633,0.5718294051627385,0.24242424242424243,0.6052188552188552,0.3720538720538721,0.44612794612794615,0.6269360269360269,0.3595959595959596
0.1632996632996633,0.5718294051627385,0.8860830527497194,0.36026936026936024,0.45791245791245794,0.42817059483726144,0.43636363636363634,0.32659932659932656
0.4006734006734007,0.39113355780022446,0.734567901234568,0.5909090909090908,0.5808080808080808,0.7413019079685746,0.22087542087542084,0.3757575757575758
0.1632996632996633,0.5718294051627385,0.26936026936026936,0.6574074074074073,0.4730639730639731,0.37093153759820424,0.7616161616161616,0.3346801346801347
0.7095959595959596,0.5718294051627385,0.925364758698092,0.4722222222222222,0.5740740740740741,0.23961840628507294,0.5063973063973064,0.31717171717171716
0.6801346801346801,0.5718294051627385,0.39057239057239057,0.5042087542087542,0.7727272727272727,0.3367003367003367,0.01818181818181818,0.13872053872053872
0.5303030303030303,0.5718294051627385,0.10662177328843996,0.6893939393939393,0.6734006734006734,0.4169472502805836,0.7299663299663299,0.2781144781144781
0.1632996632996633,0.5718294051627385,0.9118967452300786,0.2870370370370371,0.265993265993266,0.451739618406285,0.6316498316498317,0.30505050505050507
0.452020202020202,0.4169472502805836,0.6083052749719416,0.5244107744107744,0.3114478114478114,0.8681257014590348,0.2841750841750842,0.38653198653198656
0.1632996632996633,0.5718294051627385,0.3333333333333333,0.4612794612794613,0.2239057239057239,0.3664421997755331,0.7023569023569023,0.3575757575757576
0.7895622895622896,0.5718294051627385,0.978675645342312,0.595959595959596,0.5151515151515151,0.3047138047138047,0.6585858585858586,0.5858585858585859
0.7466329966329966,0.46632996632996626,0.7884399551066217,0.7912457912457913,0.7037037037037037,0.5701459034792369,0.7232323232323232,0.6754208754208755
0.6178451178451179,0.5718294051627385,0.5140291806958474,0.8265993265993267,0.6599326599326599,0.27665544332210995,0.8646464646464647,0.6626262626262627
0.5900673400673401,0.5718294051627385,0.744668911335578,0.8552188552188552,0.6750841750841751,0.30920314253647585,0.6767676767676767,0.6430976430976432
0.7196969696969697,0.3810325476992144,0.44219977553310885,0.8661616161616162,0.6161616161616161,0.7160493827160493,0.6080808080808081,0.7090909090909091
0.7996632996632996,0.40179573512906847,0.22671156004489337,0.882996632996633,0.5909090909090908,0.6015712682379349,0.6626262626262627,0.6491582491582492
0.7828282828282829,0.33782267115600445,0.9523007856341189,0.6574074074074074,0.3383838383838384,0.9876543209876543,0.8666666666666666,0.6437710437710438
0.6287878787878788,0.39113355780022446,0.42312008978675647,0.8577441077441078,0.8602693602693603,0.7940516273849608,0.3737373737373738,0.7245791245791245
0.4006734006734007,0.425364758698092,0.21885521885521886,0.8754208754208754,0.6919191919191919,0.5617283950617283,0.6909090909090909,0.7252525252525253
0.1632996632996633,0.5718294051627385,0.4365881032547699,0.7811447811447811,0.6195286195286196,0.260942760942761,0.5845117845117845,0.6491582491582492
0.1632996632996633,0.37934904601571273,0.33782267115600445,0.7609427609427609,0.67003367003367,0.553872053872054,0.5521885521885522,0.6915824915824916
0.1632996632996633,0.5718294051627385,0.23681257014590348,0.8072390572390573,0.6178451178451179,0.34062850729517397,0.6552188552188551,0.6612794612794614
0.1632996632996633,0.5718294051627385,0.7951739618406286,0.5117845117845118,0.6414141414141414,0.4528619528619528,0.6962962962962963,0.6127946127946128
0.1632996632996633,0.46632996632996626,0.579124579124579,0.7828282828282828,0.7693602693602694,0.6419753086419754,0.4161616161616162,0.7205387205387205
