row,base_tier,n_runs,drop_frac,tier_flip_rate
152,easy,200,0.3333333333333333,0.015
153,easy,200,0.3333333333333333,0.0
154,easy,200,0.3333333333333333,0.215
155,easy,200,0.3333333333333333,0.155
156,medium,200,0.3333333333333333,0.34
157,easy,200,0.3333333333333333,0.005
158,hard,200,0.3333333333333333,0.385
159,easy,200,0.3333333333333333,0.21
160,easy,200,0.3333333333333333,0.01
161,easy,200,0.3333333333333333,0.335
162,easy,200,0.3333333333333333,0.345
163,medium,200,0.3333333333333333,0.37
164,medium,200,0.3333333333333333,0.34
165,medium,200,0.3333333333333333,0.42
166,easy,200,0.3333333333333333,0.0
167,medium,200,0.3333333333333333,0.3
168,easy,200,0.3333333333333333,0.42
169,medium,200,0.3333333333333333,0.365
170,easy,200,0.3333333333333333,0.145
171,hard,200,0.3333333333333333,0.01
172,hard,200,0.3333333333333333,0.0
173,hard,200,0.3333333333333333,0.0
174,hard,200,0.3333333333333333,0.0
175,hard,200,0.3333333333333333,0.01
176,hard,200,0.3333333333333333,0.03
177,hard,200,0.3333333333333333,0.0
178,hard,200,0.3333333333333333,0.02
179,hard,200,0.3333333333333333,0.03
180,medium,200,0.3333333333333333,0.42
181,hard,200,0.3333333333333333,0.42
182,hard,200,0.3333333333333333,0.49
183,hard,200,0.3333333333333333,0.205
184,hard,200,0.3333333333333333,0.145
185,hard,200,0.3333333333333333,0.48
186,medium,200,0.3333333333333333,0.18
187,easy,200,0.3333333333333333,0.44
188,medium,200,0.3333333333333333,0.465
189,hard,200,0.3333333333333333,0.12
190,medium,200,0.3333333333333333,0.43
191,medium,200,0.3333333333333333,0.47
192,easy,200,0.3333333333333333,0.305
193,medium,200,0.3333333333333333,0.36
194,medium,200,0.3333333333333333,0.255
195,medium,200,0.3333333333333333,0.39
196,medium,200,0.3333333333333333,0.37
197,medium,200,0.3333333333333333,0.415
198,hard,200,0.3333333333333333,0.52
199,medium,200,0.3333333333333333,0.455
200,medium,200,0.3333333333333333,0.46
201,medium,200,0.3333333333333333,0.435
202,hard,200,0.3333333333333333,0.405
203,hard,200,0.3333333333333333,0.45
204,easy,200,0.3333333333333333,0.025
205,easy,200,0.3333333333333333,0.0
206,easy,200,0.3333333333333333,0.0
207,easy,200,0.3333333333333333,0.045
208,easy,200,0.3333333333333333,0.31
209,easy,200,0.3333333333333333,0.57
210,easy,200,0.3333333333333333,0.01
211,easy,200,0.3333333333333333,0.23
212,easy,200,0.3333333333333333,0.0
213,medium,200,0.3333333333333333,0.435
214,medium,200,0.3333333333333333,0.46
215,easy,200,0.3333333333333333,0.32
216,easy,200,0.3333333333333333,0.0
217,easy,200,0.3333333333333333,0.15
218,easy,200,0.3333333333333333,0.57
219,hard,200,0.3333333333333333,0.405
220,easy,200,0.3333333333333333,0.19
221,hard,200,0.3333333333333333,0.275
222,medium,200,0.3333333333333333,0.215
223,easy,200,0.3333333333333333,0.125
224,medium,200,0.3333333333333333,0.325
225,medium,200,0.3333333333333333,0.3
226,easy,200,0.3333333333333333,0.47
227,medium,200,0.3333333333333333,0.44
228,medium,200,0.3333333333333333,0.255
229,medium,200,0.3333333333333333,0.42
230,hard,200,0.3333333333333333,0.395
231,medium,200,0.3333333333333333,0.375
232,easy,200,0.3333333333333333,0.01
233,medium,200,0.3333333333333333,0.345
234,hard,200,0.3333333333333333,0.365
235,medium,200,0.3333333333333333,0.285
236,hard,200,0.3333333333333333,0.51
237,hard,200,0.3333333333333333,0.0
238,hard,200,0.3333333333333333,0.445
239,hard,200,0.3333333333333333,0.09
240,hard,200,0.3333333333333333,0.005
241,medium,200,0.3333333333333333,0.505
242,hard,200,0.3333333333333333,0.325
243,hard,200,0.3333333333333333,0.01
244,hard,200,0.3333333333333333,0.065
245,medium,200,0.3333333333333333,0.355
246,hard,200,0.3333333333333333,0.205
247,hard,200,0.3333333333333333,0.025
248,medium,200,0.3333333333333333,0.46
249,hard,200,0.3333333333333333,0.17
250,hard,200,0.3333333333333333,0.045
251,medium,200,0.3333333333333333,0.49
252,hard,200,0.3333333333333333,0.095
253,medium,200,0.3333333333333333,0.385
254,easy,200,0.3333333333333333,0.165
255,hard,200,0.3333333333333333,0.325
256,hard,200,0.3333333333333333,0.01
257,hard,200,0.3333333333333333,0.085
258,hard,200,0.3333333333333333,0.235
259,hard,200,0.3333333333333333,0.015
260,hard,200,0.3333333333333333,0.27
261,medium,200,0.3333333333333333,0.315
262,hard,200,0.3333333333333333,0.12
263,hard,200,0.3333333333333333,0.32
264,hard,200,0.3333333333333333,0.34
265,medium,200,0.3333333333333333,0.415
266,medium,200,0.3333333333333333,0.27
267,medium,200,0.3333333333333333,0.38
268,medium,200,0.3333333333333333,0.255
269,easy,200,0.3333333333333333,0.55
270,hard,200,0.3333333333333333,0.365
271,easy,200,0.3333333333333333,0.0
272,medium,200,0.3333333333333333,0.43
273,easy,200,0.3333333333333333,0.46
274,easy,200,0.3333333333333333,0.005
275,medium,200,0.3333333333333333,0.345
276,medium,200,0.3333333333333333,0.465
277,easy,200,0.3333333333333333,0.06
278,medium,200,0.3333333333333333,0.315
279,medium,200,0.3333333333333333,0.225
280,easy,200,0.3333333333333333,0.0
281,medium,200,0.3333333333333333,0.385
282,hard,200,0.3333333333333333,0.23
283,easy,200,0.3333333333333333,0.07
284,medium,200,0.3333333333333333,0.405
285,medium,200,0.3333333333333333,0.295
286,hard,200,0.3333333333333333,0.185
287,medium,200,0.3333333333333333,0.25
288,medium,200,0.3333333333333333,0.46
289,medium,200,0.3333333333333333,0.365
290,medium,200,0.3333333333333333,0.47
291,medium,200,0.3333333333333333,0.42
292,easy,200,0.3333333333333333,0.435
293,medium,200,0.3333333333333333,0.42
294,medium,200,0.3333333333333333,0.36
295,easy,200,0.3333333333333333,0.26
296,easy,200,0.3333333333333333,0.48
