model	split	source_file	metric_path	value	source_directory
cut3r	easy	rcpe_metrics.json	metric_auc		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	metric_auc_status	skipped_by_protocol	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.None.n_pairs	3300.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.None.rotation_error_deg	0.9803976187910531	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.None.translation_error_m	0.030462422477732704	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.None.translation_angular_deg	9.060303713427526	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.None.pose_error_max_deg	9.071497915857039	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.easy.n_pairs	3300.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.easy.rotation_error_deg	0.9241260587181153	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.easy.translation_error_m	0.02958409500503473	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.easy.translation_angular_deg	11.167199440947813	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.easy.pose_error_max_deg	11.176736266123891	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.medium.n_pairs	76.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.medium.rotation_error_deg	1.90572908660234	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
